date,fiscal_year,base_year,group_code,cmdty_code,description,index_value
2015-07-01,2015-2016,2007-08,00,00,General,201.76
2015-08-01,2015-2016,2007-08,00,00,General,202.25
2015-09-01,2015-2016,2007-08,00,00,General,202.04
2015-10-01,2015-2016,2007-08,00,00,General,203.03
2015-11-01,2015-2016,2007-08,00,00,General,204.22
2015-12-01,2015-2016,2007-08,00,00,General,203.06
2016-01-01,2015-2016,2007-08,00,00,General,203.49
2016-02-01,2015-2016,2007-08,00,00,General,202.98
2016-03-01,2015-2016,2007-08,00,00,General,203.28
2016-04-01,2015-2016,2007-08,00,00,General,206.43
2016-05-01,2015-2016,2007-08,00,00,General,205.99
2016-06-01,2015-2016,2007-08,00,00,General,207.3
2016-07-01,2016-2017,2007-08,00,00,General,210.08
2016-08-01,2016-2017,2007-08,00,00,General,209.46
2016-09-01,2016-2017,2007-08,00,00,General,209.88
2016-10-01,2016-2017,2007-08,00,00,General,211.57
2016-11-01,2016-2017,2007-08,00,00,General,212.01
2016-12-01,2016-2017,2007-08,00,00,General,210.57
2017-01-01,2016-2017,2007-08,00,00,General,210.94
2017-02-01,2016-2017,2007-08,00,00,General,211.54
2017-03-01,2016-2017,2007-08,00,00,General,213.32
2017-04-01,2016-2017,2007-08,00,00,General,216.3
2017-05-01,2016-2017,2007-08,00,00,General,216.33
2017-06-01,2016-2017,2007-08,00,00,General,215.45
2017-07-01,2017-2018,2007-08,00,00,General,216.19
2017-08-01,2017-2018,2007-08,00,00,General,216.61
2017-09-01,2017-2018,2007-08,00,00,General,217.98
2017-10-01,2017-2018,2007-08,00,00,General,219.61
2017-11-01,2017-2018,2007-08,00,00,General,220.42
2017-12-01,2017-2018,2007-08,00,00,General,220.2
2018-01-01,2017-2018,2007-08,00,00,General,220.27
2018-02-01,2017-2018,2007-08,00,00,General,219.58
2018-03-01,2017-2018,2007-08,00,00,General,220.25
2018-04-01,2017-2018,2007-08,00,00,General,224.25
2018-05-01,2017-2018,2007-08,00,00,General,225.4
2018-06-01,2017-2018,2007-08,00,00,General,226.67
2018-07-01,2018-2019,2007-08,00,00,General,228.8
2018-08-01,2018-2019,2007-08,00,00,General,229.27
2018-09-01,2018-2019,2007-08,00,00,General,229.12
2018-10-01,2018-2019,2007-08,00,00,General,234.49
2018-11-01,2018-2019,2007-08,00,00,General,234.76
2018-12-01,2018-2019,2007-08,00,00,General,233.78
2019-01-01,2018-2019,2007-08,00,00,General,236.11
2019-02-01,2018-2019,2007-08,00,00,General,237.61
2019-03-01,2018-2019,2007-08,00,00,General,240.99
2019-04-01,2018-2019,2007-08,00,00,General,244.03
2019-05-01,2018-2019,2007-08,00,00,General,245.94
2019-06-01,2018-2019,2007-08,00,00,General,246.82
2015-07-01,2015-2016,2007-08,01,00,Food and non-alcoholic Beverages,219.76
2015-08-01,2015-2016,2007-08,01,00,Food and non-alcoholic Beverages,220.51
2015-09-01,2015-2016,2007-08,01,00,Food and non-alcoholic Beverages,219.41
2015-10-01,2015-2016,2007-08,01,00,Food and non-alcoholic Beverages,220.4
2015-11-01,2015-2016,2007-08,01,00,Food and non-alcoholic Beverages,223.17
2015-12-01,2015-2016,2007-08,01,00,Food and non-alcoholic Beverages,218.28
2016-01-01,2015-2016,2007-08,01,00,Food and non-alcoholic Beverages,216.71
2016-02-01,2015-2016,2007-08,01,00,Food and non-alcoholic Beverages,214.99
2016-03-01,2015-2016,2007-08,01,00,Food and non-alcoholic Beverages,216.13
2016-04-01,2015-2016,2007-08,01,00,Food and non-alcoholic Beverages,221.59
2016-05-01,2015-2016,2007-08,01,00,Food and non-alcoholic Beverages,219.65
2016-06-01,2015-2016,2007-08,01,00,Food and non-alcoholic Beverages,222.39
2016-07-01,2016-2017,2007-08,01,00,Food and non-alcoholic Beverages,228.36
2016-08-01,2016-2017,2007-08,01,00,Food and non-alcoholic Beverages,225.91
2016-09-01,2016-2017,2007-08,01,00,Food and non-alcoholic Beverages,226.3
2016-10-01,2016-2017,2007-08,01,00,Food and non-alcoholic Beverages,228.3
2016-11-01,2016-2017,2007-08,01,00,Food and non-alcoholic Beverages,228.74
2016-12-01,2016-2017,2007-08,01,00,Food and non-alcoholic Beverages,223.58
2017-01-01,2016-2017,2007-08,01,00,Food and non-alcoholic Beverages,220.96
2017-02-01,2016-2017,2007-08,01,00,Food and non-alcoholic Beverages,221.66
2017-03-01,2016-2017,2007-08,01,00,Food and non-alcoholic Beverages,226.16
2017-04-01,2016-2017,2007-08,01,00,Food and non-alcoholic Beverages,230.25
2017-05-01,2016-2017,2007-08,01,00,Food and non-alcoholic Beverages,229.65
2017-06-01,2016-2017,2007-08,01,00,Food and non-alcoholic Beverages,229.18
2017-07-01,2017-2018,2007-08,01,00,Food and non-alcoholic Beverages,229.99
2017-08-01,2017-2018,2007-08,01,00,Food and non-alcoholic Beverages,230.99
2017-09-01,2017-2018,2007-08,01,00,Food and non-alcoholic Beverages,234.23
2017-10-01,2017-2018,2007-08,01,00,Food and non-alcoholic Beverages,235.69
2017-11-01,2017-2018,2007-08,01,00,Food and non-alcoholic Beverages,236.61
2017-12-01,2017-2018,2007-08,01,00,Food and non-alcoholic Beverages,235.12
2018-01-01,2017-2018,2007-08,01,00,Food and non-alcoholic Beverages,232.25
2018-02-01,2017-2018,2007-08,01,00,Food and non-alcoholic Beverages,229.23
2018-03-01,2017-2018,2007-08,01,00,Food and non-alcoholic Beverages,228.39
2018-04-01,2017-2018,2007-08,01,00,Food and non-alcoholic Beverages,231.9
2018-05-01,2017-2018,2007-08,01,00,Food and non-alcoholic Beverages,234.4
