fiscal_year,base_year,sr_no,group_code,cmdty_code,description,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,fy_avg_index
2015-2016,2007-08,1,00,00,General,201.76,202.25,202.04,203.03,204.22,203.06,203.49,202.98,203.28,206.43,205.99,207.3,203.82
2015-2016,2007-08,2,01,00,Food and non-alcoholic Beverages,219.76,220.51,219.41,220.4,223.17,218.28,216.71,214.99,216.13,221.59,219.65,222.39,219.42
2015-2016,2007-08,3,01,01,Wheat,195.34,194.04,193.88,200.07,202.99,206.87,207.61,209.18,208.84,199.84,190.74,190.65,200
2015-2016,2007-08,4,01,02,Wheat Flour,209.15,208.24,208.52,213.1,216.28,217.09,217.29,217.05,216.95,213.8,208.56,207.51,212.8
2015-2016,2007-08,5,01,03,Wheat Product,212.14,212.75,212.74,214.59,216.05,216.9,216.36,213.03,212.36,214.44,213.99,213.52,214.07
2015-2016,2007-08,6,01,04,Besan,226.93,236.9,240.09,250.61,259.87,263.29,265.87,258.32,258.58,266.21,297.68,304.78,260.76
2015-2016,2007-08,7,01,05,Rice,174.19,174.03,170.56,164.5,158.55,156.85,156.97,156.66,157.09,155.53,154.07,156.23,161.27
2015-2016,2007-08,8,01,06,Cereals,242.61,243.87,244.01,244.03,244.41,244.3,244.57,245.93,248.03,248.02,248.06,248.23,245.51
2015-2016,2007-08,9,01,07,Bakery & Confectionary,208.8,209.48,209.68,209.83,210.04,210.23,210.44,211.97,212.37,212.32,212.69,213.83,210.97
2015-2016,2007-08,10,01,08,Nimco,240.02,240.88,241.24,241.54,242.93,243.73,245.2,246.64,244.62,245.22,245.24,248.02,243.77
2015-2016,2007-08,11,01,09,Meat,250.33,252.42,254.88,255.19,255.84,257.73,258.7,259.99,260.17,260.33,261.05,261.83,257.37
2015-2016,2007-08,12,01,10,Chicken,227.83,189.75,157.49,143.98,174.41,179.49,184.93,148.72,169.42,221.51,207.46,193.47,183.21
2015-2016,2007-08,13,01,11,Fish,211.33,211.3,212.73,214.66,219.78,221.24,223.97,217.07,216.71,220.79,218.98,218.3,217.24
2015-2016,2007-08,14,01,12,Milk Fresh,254.76,255.57,256.67,256.89,257.02,258.64,259.06,259.27,259.52,260.36,261.88,263.49,258.59
2015-2016,2007-08,15,01,13,Milk Products,247.17,247.22,248.48,248.48,249.39,250.23,250.44,250.66,251.48,251.36,253.26,254.37,250.21
2015-2016,2007-08,16,01,14,Milk Powder,226.78,227.17,226.9,230.26,231.58,232.01,233.68,234.3,235.07,235.13,235.69,236.54,232.09
2015-2016,2007-08,17,01,15,Eggs,174.43,196.17,189.42,181.97,201.4,208.94,205.86,202.68,169.12,157.99,150.91,163.75,183.55
2015-2016,2007-08,18,01,16,Mustard Oil,152.44,153.77,153.79,154.04,155.03,154.57,154.93,155.57,155.95,153.28,153.93,153.99,154.27
2015-2016,2007-08,19,01,17,Cooking Oil,142.1,141.58,137.91,135.21,133.44,133.55,132.05,132.13,132.58,132.28,132.88,133.28,134.92
2015-2016,2007-08,20,01,18,Vegetable Ghee,140.77,140.34,138.19,137.08,135.99,136.07,135.63,135.96,136.29,137.14,137.59,137.43,137.37
2015-2016,2007-08,21,01,19,Dry Fruits,252.84,250.52,249.61,252.42,255.1,258.78,261.69,262.54,261.11,263.06,263.17,263.76,257.88
2015-2016,2007-08,22,01,20,Fresh Fruits,263.31,240.08,219.82,217.91,200.95,193.24,203.36,204.55,221.54,251.28,260.15,266.67,228.57
2015-2016,2007-08,23,01,21,Pulse Masoor,195.25,195.95,197.64,199.45,201.38,203.16,204.23,202.55,202.97,204.86,211.25,213.02,202.64
2015-2016,2007-08,24,01,22,Pulse Moong,306.14,298,295.41,300.95,300.34,303.32,303.36,300.13,298.42,300.71,299.54,299.89,300.52
2015-2016,2007-08,25,01,23,Pulse Mash (Washed),253.39,256.02,266.81,308.24,317.19,336.48,346.21,348.73,348.96,361.7,374.98,376.13,324.57
2015-2016,2007-08,26,01,24,Pulse Gram,230.62,245.7,249.32,262.84,269.43,271.32,272.57,268.47,267.42,276.99,311.49,318.34,270.38
2015-2016,2007-08,27,01,25,Gram Whole,199.27,205.35,207.48,214.37,217.36,221.5,224,223.24,222.26,234.94,258.79,273.48,225.17
2015-2016,2007-08,28,01,26,Beans,232.93,234.52,232.23,233.73,233.73,233.87,233.35,233.25,231.25,233.02,234.91,234.45,233.44
2015-2016,2007-08,29,01,27,Potatoes,176.23,182.67,189.18,207.81,234.45,198.29,140,123.43,125.41,124.66,136.23,198.22,169.72
2015-2016,2007-08,30,01,28,Onion,255.12,247.23,309.49,326.26,373.92,312.02,267.82,247.6,248.77,234.53,196.92,192.54,267.69
2015-2016,2007-08,31,01,29,Tomatoes,148.28,197.35,174.35,233.56,275.88,200.23,123.72,114.98,93.51,150,75.85,122.2,159.16
2015-2016,2007-08,32,01,30,Fresh Vegetables,215.04,253.47,258.41,257.22,265.6,202.07,191.2,190.61,203.43,232.56,216.09,228.83,226.21
2015-2016,2007-08,33,01,31,Sugar,232.55,233.44,229.84,221.27,213.03,202.21,214.31,223.59,223.13,226.87,227.12,229.8,223.1
2015-2016,2007-08,34,01,32,Gur,279.18,285.83,290.46,291.22,278.99,266.16,267.27,266.92,267.43,264.7,271.2,274.05,275.28
2015-2016,2007-08,35,01,33,Honey,304.35,304.35,304.38,304.38,305.4,306.28,307.36,307.75,307.12,307.78,307.78,307.78,306.23
