market_id,market,countryiso3,admin1,admin2,latitude,longitude
291,Lahore,PAK,PUNJAB,Lahore,31.55,74.34
292,Multan,PAK,PUNJAB,Multan,30.2,71.48
293,Karachi,PAK,SINDH,Karachi,24.91,67.08
294,Peshawar,PAK,KHYBER PAKHTUNKHWA,Peshawar,34.01,71.58
295,Quetta,PAK,BALOCHISTAN,Quetta,30.19,67.01
7417,Chachro,PAK,SINDH,Mirpur Khas,25.11,70.25
7418,Kantio,PAK,SINDH,Mirpur Khas,25.17,69.97
7419,Mubarik Rind,PAK,SINDH,Mirpur Khas,25.03,70.55
7420,Islamkot,PAK,SINDH,Mirpur Khas,24.7,70.18
7421,Mithi,PAK,SINDH,Mirpur Khas,24.73,69.8
7422,Chilhar,PAK,SINDH,Mirpur Khas,24.98,69.92
9372,Dalbandin,PAK,BALOCHISTAN,Quetta,28.95,64.13
9373,Nokkundi,PAK,BALOCHISTAN,Quetta,28.79,62.86
9374,Taftan,PAK,BALOCHISTAN,Quetta,29.15,61.78
9375,Chagai,PAK,BALOCHISTAN,Quetta,29.34,64.75
9376,Ormara,PAK,BALOCHISTAN,Mekran,25.4,64.73
9377,Gwadar,PAK,BALOCHISTAN,Mekran,25.33,62.24
9378,Jiwani,PAK,BALOCHISTAN,Mekran,25.16,61.8
9379,Pasni,PAK,BALOCHISTAN,Mekran,25.41,63.27
9380,Sunster,PAK,BALOCHISTAN,Mekran,25.51,61.84
9381,Usta Mohammad,PAK,BALOCHISTAN,Nasirabad,28.16,67.97
9382,Jhat Pat,PAK,BALOCHISTAN,Nasirabad,28.34,68.21
9383,Gandakha,PAK,BALOCHISTAN,Nasirabad,28.07,67.76
9384,Buleda,PAK,BALOCHISTAN,Mekran,26.39,63.04
9385,Dasht,PAK,BALOCHISTAN,Mekran,25.69,62.57
9386,Kech (Turbat),PAK,BALOCHISTAN,Mekran,25.89,63.45
9387,Mand,PAK,BALOCHISTAN,Mekran,26.02,61.97
9388,Tump,PAK,BALOCHISTAN,Mekran,26.21,62.39
9389,Kharan,PAK,BALOCHISTAN,Kalat,28.89,65.74
9390,Tomulk,PAK,BALOCHISTAN,Kalat,28.62,65.2
9391,Sar Kharan,PAK,BALOCHISTAN,Kalat,28.43,65.65
9392,Killa Saifullah,PAK,BALOCHISTAN,Zhob,30.99,68.53
9393,Muslim Bagh,PAK,BALOCHISTAN,Zhob,30.92,67.85
9394,Hub,PAK,BALOCHISTAN,Kalat,25.21,66.98
9395,Bela,PAK,BALOCHISTAN,Kalat,26.26,66.4
9396,Kanraj,PAK,BALOCHISTAN,Kalat,26.15,66.78
9397,Dureji,PAK,BALOCHISTAN,Kalat,25.93,67.19
9398,Gaddani,PAK,BALOCHISTAN,Kalat,25.07,66.79
9399,Sonmiani,PAK,BALOCHISTAN,Kalat,25.42,66.78
9400,Uthal,PAK,BALOCHISTAN,Kalat,25.86,66.66
9401,Lakhra,PAK,BALOCHISTAN,Kalat,25.83,66.34
9402,Lairi,PAK,BALOCHISTAN,Kalat,25.51,65.81
9403,Chattar,PAK,BALOCHISTAN,Nasirabad,28.8,68.33
9404,Dera Murad Jamali,PAK,BALOCHISTAN,Nasirabad,28.6,68.17
9405,Tamboo,PAK,BALOCHISTAN,Nasirabad,28.45,67.91
9406,Barshore,PAK,BALOCHISTAN,Quetta,31.01,67.41
9407,Huramzai,PAK,BALOCHISTAN,Quetta,30.85,66.91
9408,Karezat,PAK,BALOCHISTAN,Quetta,30.6,67.28
9409,Saranan,PAK,BALOCHISTAN,Quetta,30.44,66.72
9410,Pishin,PAK,BALOCHISTAN,Quetta,30.71,67.03
9411,Panjpai,PAK,BALOCHISTAN,Quetta,30.03,66.47
9412,Quetta Saddar,PAK,BALOCHISTAN,Quetta,30.29,66.97
9413,Sohbatpur,PAK,BALOCHISTAN,Nasirabad,28.51,68.62
9414,Salarzai,PAK,FATA,FATA,34.87,71.53
9415,Nawagai,PAK,FATA,FATA,34.73,71.29
9416,Bar Chamarkand,PAK,FATA,FATA,34.73,71.2
9417,Barang,PAK,FATA,FATA,34.62,71.62
9418,Khar,PAK,FATA,FATA,34.73,71.48
9419,Mamund,PAK,FATA,FATA,34.83,71.39
9420,Utman Khel,PAK,FATA,FATA,34.74,71.7
9421,Wazir,PAK,FATA,FATA,33.08,70.58
9422,Bannu,PAK,KHYBER PAKHTUNKHWA,Bannu,32.95,70.67
9423,Domel,PAK,KHYBER PAKHTUNKHWA,Bannu,32.97,70.82
9424,Baka Khel,PAK,KHYBER PAKHTUNKHWA,Bannu,32.86,70.47
9425,Miryan,PAK,KHYBER PAKHTUNKHWA,Bannu,32.9,70.58
9426,Kakki,PAK,KHYBER PAKHTUNKHWA,Bannu,32.86,70.69
