fiscal_year,base_year,group_code,cmdty_code,description,fy_avg_index
2015-2016,2007-08,00,00,General,203.82
2016-2017,2007-08,00,00,General,212.29
2017-2018,2007-08,00,00,General,220.62
2018-2019,2007-08,00,00,General,236.81
2015-2016,2007-08,01,00,Food and non-alcoholic Beverages,219.42
2016-2017,2007-08,01,00,Food and non-alcoholic Beverages,226.59
2017-2018,2007-08,01,00,Food and non-alcoholic Beverages,232.95
2018-2019,2007-08,01,00,Food and non-alcoholic Beverages,242.62
2015-2016,2007-08,01,01,Wheat,200
2016-2017,2007-08,01,01,Wheat,200.21
2017-2018,2007-08,01,01,Wheat,198.33
2018-2019,2007-08,01,01,Wheat,206.34
2015-2016,2007-08,01,02,Wheat Flour,212.8
2016-2017,2007-08,01,02,Wheat Flour,210.8
2017-2018,2007-08,01,02,Wheat Flour,208.76
2018-2019,2007-08,01,02,Wheat Flour,215.67
2015-2016,2007-08,01,03,Wheat Product,214.07
2016-2017,2007-08,01,03,Wheat Product,216.32
2017-2018,2007-08,01,03,Wheat Product,213.6
2018-2019,2007-08,01,03,Wheat Product,216.19
2015-2016,2007-08,01,04,Besan,260.76
2016-2017,2007-08,01,04,Besan,318.25
2017-2018,2007-08,01,04,Besan,273.86
2018-2019,2007-08,01,04,Besan,270.58
2015-2016,2007-08,01,05,Rice,161.27
2016-2017,2007-08,01,05,Rice,165.85
2017-2018,2007-08,01,05,Rice,187.58
2018-2019,2007-08,01,05,Rice,201.21
2015-2016,2007-08,01,06,Cereals,245.51
2016-2017,2007-08,01,06,Cereals,252.54
2017-2018,2007-08,01,06,Cereals,258.74
2018-2019,2007-08,01,06,Cereals,268.16
2015-2016,2007-08,01,07,Bakery & Confectionary,210.97
2016-2017,2007-08,01,07,Bakery & Confectionary,216.54
2017-2018,2007-08,01,07,Bakery & Confectionary,222.53
2018-2019,2007-08,01,07,Bakery & Confectionary,232.14
2015-2016,2007-08,01,08,Nimco,243.77
2016-2017,2007-08,01,08,Nimco,250.99
2017-2018,2007-08,01,08,Nimco,257.43
2018-2019,2007-08,01,08,Nimco,262.48
2015-2016,2007-08,01,09,Meat,257.37
