date,fiscal_year,base_year,group_code,cmdty_code,description,index_value,item,fy1516_avg,factor,index_spliced
2019-07-01,2019-2020,2015-16,04,52,Construcion input items,135.46,Construction input items,242.16916666666668,0.41293448450291287,135.46
2019-08-01,2019-2020,2015-16,04,52,Construcion input items,136.74,Construction input items,242.16916666666668,0.41293448450291287,136.74
2019-09-01,2019-2020,2015-16,04,52,Construcion input items,137.95,Construction input items,242.16916666666668,0.41293448450291287,137.95
2019-10-01,2019-2020,2015-16,04,52,Construcion input items,138.84,Construction input items,242.16916666666668,0.41293448450291287,138.84
2019-11-01,2019-2020,2015-16,04,52,Construcion input items,140.21,Construction input items,242.16916666666668,0.41293448450291287,140.21
2019-12-01,2019-2020,2015-16,04,52,Construcion input items,143.1,Construction input items,242.16916666666668,0.41293448450291287,143.1
2020-01-01,2019-2020,2015-16,04,52,Construcion input items,142.98,Construction input items,242.16916666666668,0.41293448450291287,142.98
2020-02-01,2019-2020,2015-16,04,52,Construcion input items,142.64,Construction input items,242.16916666666668,0.41293448450291287,142.64
2020-03-01,2019-2020,2015-16,04,52,Construcion input items,142.8,Construction input items,242.16916666666668,0.41293448450291287,142.8
2020-04-01,2019-2020,2015-16,04,52,Construcion input items,143.04,Construction input items,242.16916666666668,0.41293448450291287,143.04
2020-05-01,2019-2020,2015-16,04,52,Construcion input items,143.58,Construction input items,242.16916666666668,0.41293448450291287,143.58
2020-06-01,2019-2020,2015-16,04,52,Construcion input items,143.08,Construction input items,242.16916666666668,0.41293448450291287,143.08
2020-07-01,2020-2021,2015-16,04,52,Construcion input items,143.2,Construction input items,242.16916666666668,0.41293448450291287,143.2
2020-08-01,2020-2021,2015-16,04,52,Construcion input items,143.57,Construction input items,242.16916666666668,0.41293448450291287,143.57
2020-09-01,2020-2021,2015-16,04,52,Construcion input items,146.96,Construction input items,242.16916666666668,0.41293448450291287,146.96
2020-10-01,2020-2021,2015-16,04,52,Construcion input items,147.35,Construction input items,242.16916666666668,0.41293448450291287,147.35
2020-11-01,2020-2021,2015-16,04,52,Construcion input items,148.04,Construction input items,242.16916666666668,0.41293448450291287,148.04
2020-12-01,2020-2021,2015-16,04,52,Construcion input items,148.41,Construction input items,242.16916666666668,0.41293448450291287,148.41
2021-01-01,2020-2021,2015-16,04,52,Construcion input items,149.44,Construction input items,242.16916666666668,0.41293448450291287,149.44
2021-02-01,2020-2021,2015-16,04,52,Construcion input items,149.66,Construction input items,242.16916666666668,0.41293448450291287,149.66
2021-03-01,2020-2021,2015-16,04,52,Construcion input items,150.9,Construction input items,242.16916666666668,0.41293448450291287,150.9
2021-04-01,2020-2021,2015-16,04,52,Construcion input items,153.04,Construction input items,242.16916666666668,0.41293448450291287,153.04
2021-05-01,2020-2021,2015-16,04,52,Construcion input items,153.18,Construction input items,242.16916666666668,0.41293448450291287,153.18
2021-06-01,2020-2021,2015-16,04,52,Construcion input items,154.3,Construction input items,242.16916666666668,0.41293448450291287,154.3
2021-07-01,2021-2022,2015-16,04,52,Construcion input items,157.03,Construction input items,242.16916666666668,0.41293448450291287,157.03
2021-08-01,2021-2022,2015-16,04,52,Construcion input items,158.57,Construction input items,242.16916666666668,0.41293448450291287,158.57
2021-09-01,2021-2022,2015-16,04,52,Construcion input items,159.3,Construction input items,242.16916666666668,0.41293448450291287,159.3
2021-10-01,2021-2022,2015-16,04,52,Construcion input items,160.32,Construction input items,242.16916666666668,0.41293448450291287,160.32
2021-11-01,2021-2022,2015-16,04,52,Construcion input items,163.51,Construction input items,242.16916666666668,0.41293448450291287,163.51
2021-12-01,2021-2022,2015-16,04,52,Construcion input items,165.26,Construction input items,242.16916666666668,0.41293448450291287,165.26
2022-01-01,2021-2022,2015-16,04,52,Construcion input items,165.13,Construction input items,242.16916666666668,0.41293448450291287,165.13
2022-02-01,2021-2022,2015-16,04,52,Construcion input items,165.69,Construction input items,242.16916666666668,0.41293448450291287,165.69
2022-03-01,2021-2022,2015-16,04,52,Construcion input items,169,Construction input items,242.16916666666668,0.41293448450291287,169
2022-04-01,2021-2022,2015-16,04,52,Construcion input items,172.11,Construction input items,242.16916666666668,0.41293448450291287,172.11
2022-05-01,2021-2022,2015-16,04,52,Construcion input items,173.48,Construction input items,242.16916666666668,0.41293448450291287,173.48
