province,district,mpi,mpi_lo,mpi_hi,h_incidence,h_lo,h_hi,a_intensity,a_lo,a_hi,pop_share,n_poor_thousands
KP,Abbottabad,0.05054,0.02612,0.07496,11.7992,6.20445,17.394,42.8305,41.3661,44.2949,0.7013274,190
KP,Bajaur,0.48292,0.42556,0.54029,87.3876,81.4156,93.3597,55.262,51.7992,58.7248,0.4936879,990
KP,Bannu,0.24144,0.1884,0.29447,50.3359,40.312,60.3597,47.9653,46.4181,49.5124,0.6457033,746
KP,Batagram,0.2722,0.21083,0.33358,55.6899,44.2254,67.1544,48.878,46.3025,51.4536,0.2516868,322
KP,Bunair,0.26225,0.21102,0.31349,54.4137,44.5032,64.3242,48.1963,46.4922,49.9003,0.3880423,485
KP,Charsada,0.13836,0.10632,0.1704,31.3236,24.4321,38.2151,44.1714,42.9315,45.4113,0.8148617,586
KP,Chitral,0.13493,0.09606,0.17379,30.3879,22.7977,37.9781,44.4018,41.6383,47.1653,0.2111619,147
KP,D. I. Khan,0.21405,0.15931,0.26879,45.2602,34.9547,55.5656,47.2937,44.6738,49.9135,0.8834748,918
KP,Hangu,0.27308,0.17938,0.36678,58.9668,40.4277,77.506,46.3106,44.748,47.8731,0.2337717,316
KP,Haripur,0.05522,0.02476,0.08568,12.0078,5.89324,18.1223,45.9849,40.6338,51.336,0.5308839,146
KP,Karak,0.11815,0.08142,0.15487,26.9227,18.9342,34.9111,43.8838,42.4623,45.3053,0.3011164,186
KP,Khyber,0.28446,0.21991,0.34901,60.8192,51.0606,70.5778,46.7715,43.3397,50.2033,0.4519668,631
KP,Kohat,0.17763,0.12694,0.22831,38.3885,27.9933,48.7836,46.2712,44.5362,48.0063,0.6219484,548
KP,Kohistan,0.53187,0.43962,0.62413,87.8897,80.2876,95.4917,60.5161,54.105,66.9272,0.4864666,981
KP,Kurram,0.29753,0.18509,0.40996,55.3548,38.0333,72.6763,53.7488,48.3047,59.1929,0.2680469,341
KP,Lakki Marwat,0.2358,0.15574,0.31585,47.0087,31.9095,62.108,50.1607,48.6843,51.6372,0.4772032,515
KP,Lower Dir,0.20172,0.15384,0.2496,41.8006,32.9423,50.6588,48.2577,46.4028,50.1126,0.6730927,646
KP,Malakand,0.0832,0.05421,0.11219,20.0628,12.6954,27.4302,41.469,38.2337,44.7043,0.317616,146
KP,Mansehra,0.13553,0.10101,0.17006,28.9862,22.2355,35.7369,46.7584,44.4587,49.058,0.7453578,496
KP,Mardan,0.1041,0.08235,0.12585,24.1411,19.5378,28.7444,43.1226,41.8484,44.3967,1.196506,663
KP,Mohmand,0.46241,0.37522,0.54961,83.3151,73.1721,93.458,55.5019,50.646,60.3578,0.2409567,461
KP,North Waziristan,0.32343,0.28706,0.35981,66.5025,59.6413,73.3638,48.6346,47.4978,49.7715,0.2769468,423
KP,Nowshera,0.10727,0.08239,0.13215,24.752,19.3603,30.1438,43.3371,42.0213,44.653,0.7127803,405
KP,Orakzai,0.26215,0.20576,0.31855,56.9454,45.6941,68.1967,46.0356,44.2064,47.8648,0.1431881,187
