country,years_observed,avg_ratio,min_ratio,max_ratio,ratio_range,ratio_stability
Malawi,4,71.3650175,69.14697,74.08589,4.93892000000001,Stable
Rwanda,6,58.6671566666667,57.85938,59.81633,1.95695,Stable
Chad,5,58.45819,55.54179,62.42763,6.88584,Moderate
Mozambique,6,54.2169016666667,52.43683,54.92451,2.48768,Stable
Burundi,6,46.3757916666667,43.22109,49.66066,6.43957,Moderate
Guinea,4,45.1263725,43.55555,47.14862,3.59307,Stable
Pakistan,6,44.8636616666667,41.35274,47.63465,6.28191,Moderate
Afghanistan,4,44.681965,44.00995,45.71171,1.70175999999999,Stable
Uganda,5,44.538492,42.65911,48.80484,6.14573,Moderate
Cambodia,6,44.50021,41.66267,46.92711,5.26444,Moderate
Zambia,6,44.389145,41.0469,49.22433,8.17743,Moderate
United Republic Of Tanzania,5,44.250962,41.76673,47.15284,5.38611,Moderate
Benin,6,44.0093816666667,41.63992,45.92349,4.28357,Stable
Burkina Faso,6,43.873655,40.68126,48.23903,7.55777,Moderate
Cameroon,5,43.714616,41.46571,45.56349,4.09778,Stable
Eritrea,5,42.329544,39.24553,45.66797,6.42244,Moderate
Côte D'ivoire,6,42.0369866666667,41.00117,42.52673,1.52556,Stable
Madagascar,5,41.269562,39.76644,43.06725,3.30081,Stable
Togo,6,41.18878,40.12613,41.70862,1.58249,Stable
Mali,5,40.75668,38.22009,42.70695,4.48686,Stable
Low Income Countries,6,40.2829266666667,39.46101,41.27404,1.81303,Stable
Sub-Saharan Africa,6,39.7551133333333,38.49626,43.61803,5.12177,Moderate
Africa (Sub-Saharan),6,39.73761,38.48384,43.59906,5.11522,Moderate
Kenya,3,39.52614,30.65055,56.5747,25.92415,Variable
Least Developed Countries,6,38.57629,37.19504,40.19802,3.00298,Stable
Landlocked Developing Countries,6,38.4329266666667,38.17307,38.66007,0.486999999999995,Stable
Gambia,6,37.7731666666667,33.86525,44.68514,10.81989,Variable
Niger,6,36.674365,35.75275,38.75524,3.00249,Stable
Mauritania,5,36.413114,34.37911,40.12932,5.75021,Moderate
Sierra Leone,5,35.669162,32.99373,39.43821,6.44448,Moderate
Democratic Republic Of The Congo,4,35.08353,33.19793,37.06925,3.87132,Stable
Bhutan,6,34.26317,23.9859,40.31205,16.32615,Variable
Asia (Southern),6,33.7964716666667,32.3491,35.25723,2.90813,Stable
South And West Asia,6,33.7964716666667,32.3491,35.25723,2.90813,Stable
Lesotho,6,33.2128683333333,32.62708,34.07946,1.45238,Stable
Asia (Central And Southern),6,33.1907166666667,31.81849,34.45164,2.63315,Stable
India,4,32.578555,31.28855,35.21588,3.92733,Stable
Sao Tome And Principe,6,32.47278,28.65004,38.77644,10.1264,Variable
Djibouti,7,32.3287157142857,29.37453,34.93245,5.55792,Moderate
Senegal,6,32.3026316666667,31.74299,32.81273,1.06974,Stable
South Africa,4,32.016855,30.3322,32.93793,2.60573,Stable
Oceania (Excl. Australia/New Zealand),6,31.75067,31.55987,32.06954,0.509670000000003,Stable
Philippines,3,30.2017833333333,28.98824,31.35082,2.36258,Stable
Ghana,7,30.1602142857143,27.24556,32.98357,5.73801,Moderate
Lower Middle Income Countries,6,28.932505,27.83073,30.93166,3.10093,Stable
El Salvador,3,28.7421,28.26087,29.69441,1.43354,Stable
Mongolia,6,28.6445616666667,27.20739,30.37955,3.17216,Stable
Eswatini,5,28.009132,27.27385,29.05959,1.78574,Stable
Liberia,3,28.0042266666667,26.49841,30.44637,3.94796,Stable
Honduras,3,27.7046533333333,25.59773,29.14566,3.54793,Stable
Mexico,6,27.2228966666667,26.55228,28.01636,1.46408,Stable
Iran (Islamic Republic Of),5,26.838624,25.65459,28.52479,2.8702,Stable
Morocco,6,26.332095,25.66659,28.03417,2.36758,Stable
Kiribati,3,25.8638666666667,25.48855,26.37134,0.88279,Stable
Kyrgyzstan,6,24.9821116666667,23.89988,26.19366,2.29378,Stable
Lao People's Democratic Republic,6,24.5550766666667,22.33745,27.12631,4.78886,Stable
Colombia,6,24.412855,23.60132,25.04796,1.44664,Stable
Myanmar,3,24.2168933333333,22.04141,27.56392,5.52251,Moderate
Palestine,6,24.0566216666667,23.5944,24.72816,1.13376,Stable
Ecuador,5,24.054406,22.07788,25.10571,3.02783,Stable
Nepal,6,23.9213016666667,20.90655,27.5331,6.62655,Moderate
Middle Income Countries,6,23.8419433333333,23.25436,24.73349,1.47913,Stable
Algeria,6,23.7302016666667,23.15942,24.2355,1.07608,Stable
World,12,23.5367533333333,23.09554,24.18661,1.09107,Stable
Sri Lanka,6,23.5150066666667,22.93257,24.4299,1.49733,Stable
Solomon Islands,6,22.7861466666667,19.13812,25.77788,6.63976,Moderate
Tonga,4,22.5860825,21.10539,25.74776,4.64237,Stable
Tajikistan,6,22.47324,22.19159,23.00472,0.813129999999998,Stable
