province,commodity,year,price_pkr,n_markets
NA,Wheat flour,2004,13.186833333333333,5
NA,"Rice (basmati, broken)",2004,19.626363636363635,5
NA,"Rice (basmati, broken)",2005,20.65101694915254,5
NA,Wheat flour,2005,13.278,5
NA,"Rice (basmati, broken)",2006,20.644150943396227,5
NA,Rice (coarse),2006,16.71964285714286,5
NA,Wheat flour,2006,13.307666666666666,5
NA,Wheat,2006,11.921739130434784,4
NA,"Rice (basmati, broken)",2007,30.585833333333333,5
NA,Rice (coarse),2007,21.64741379310345,5
NA,Wheat flour,2007,16.602166666666665,5
NA,Wheat,2007,13.578260869565218,4
NA,"Rice (basmati, broken)",2008,49.18,5
NA,Rice (coarse),2008,40.84189655172414,5
NA,Wheat flour,2008,24.2095,5
NA,Wheat,2008,21.690652173913044,4
NA,"Rice (basmati, broken)",2009,46.066964285714285,5
NA,Rice (coarse),2009,36.16452830188679,5
NA,Wheat flour,2009,27.402166666666666,5
NA,Wheat,2009,24.751363636363635,4
NA,"Rice (basmati, broken)",2010,47.382962962962964,5
NA,Rice (coarse),2010,36.65568965517242,5
NA,Wheat flour,2010,29.075593220338984,5
NA,Wheat,2010,25.351304347826087,4
NA,"Rice (basmati, broken)",2011,55.83543859649123,5
NA,Rice (coarse),2011,42.995862068965515,5
NA,Wheat flour,2011,29.870169491525424,5
NA,Wheat,2011,26.337391304347825,4
NA,"Rice (basmati, broken)",2012,67.63830508474577,5
NA,Rice (coarse),2012,47.452456140350876,5
NA,Wheat flour,2012,32.427166666666665,5
NA,Wheat,2012,28.325454545454544,4
NA,"Rice (basmati, broken)",2013,77.28821428571429,5
NA,Rice (coarse),2013,48.85109090909091,5
NA,Wheat flour,2013,39.03066666666667,5
NA,Poultry,2013,150.14864864864865,5
NA,Sugar,2013,54.16,4
NA,Ghee (artificial),2013,205.3175,5
NA,Wheat,2013,34.4531914893617,5
NA,Oil (cooking),2013,213.56666666666666,5
NA,Lentils (masur),2013,110.60333333333334,1
NA,"Rice (basmati, broken)",2014,79.75948275862069,5
NA,Rice (coarse),2014,51.23298245614035,5
NA,Wheat,2014,36.739411764705885,5
NA,Wheat flour,2014,41.47966666666667,5
NA,Poultry,2014,160.10701754385966,5
NA,Sugar,2014,55.34442307692308,5
NA,Ghee (artificial),2014,203.94034482758622,5
NA,Beans(mash),2014,146.9972549019608,5
NA,Lentils (masur),2014,129.5342105263158,5
NA,Oil (cooking),2014,214.94,5
NA,Salt,2014,10.2,5
NA,"Rice (basmati, broken)",2015,72.757,5
NA,Rice (coarse),2015,47.30392857142857,5
NA,Wheat,2015,34.398833333333336,5
