country,iso3,region,cum2324_usd_m,cum2223_usd_m,jun24_usd_m,jun23_usd_m,n_hs_codes,yoy_chg_pct,share_pct
Afghanistan,AFG,South Asia,45.99323928571428,0,443.8950214285714,107.33346785714285,1084,Inf,8.05
United Arab Emirates,ARE,Middle East & North Africa,44.726167857142855,0,2004.53795,241.40194285714287,2075,Inf,7.82
United Kingdom,GBR,Europe & Central Asia,34.49909642857143,0,149.53607857142856,283.51115,1523,Inf,6.03
Indonesia,IDN,East Asia & Pacific,32.68539285714286,0,16.620525,3.0027714285714286,226,Inf,5.72
Philippines,PHL,East Asia & Pacific,26.22120357142857,0,82.84662499999999,27.088874999999998,182,Inf,4.59
U.S.America,USA,North America,22.790364285714286,0,596.5008821428572,644.6782392857143,1675,Inf,3.99
Germany,DEU,Europe & Central Asia,21.72916785714286,0,39.926607142857144,79.23238571428571,957,Inf,3.8
Saudi Arabia,SAU,Middle East & North Africa,20.1124,0,106.63187857142857,73.84442857142857,1152,Inf,3.52
Turkey,TUR,Europe & Central Asia,15.843003571428572,0,108.43801428571429,16.944992857142857,565,Inf,2.77
Belgium,BEL,Europe & Central Asia,14.242375000000001,0,89.84109285714285,125.53648214285714,672,Inf,2.49
Uzbekistan,UZB,Europe & Central Asia,12.426060714285713,0,44.286696428571425,12.350989285714286,261,Inf,2.17
Bangladesh,BGD,South Asia,11.867639285714287,0,103.72444285714286,192.34623214285713,585,Inf,2.08
China,CHN,East Asia & Pacific,11.672385714285715,0,1130.993225,738.38915,702,Inf,2.04
Canada,CAN,North America,11.539878571428572,0,136.89625357142856,55.084942857142856,976,Inf,2.02
Qatar,QAT,Middle East & North Africa,11.538635714285714,0,263.0184892857143,46.789325,660,Inf,2.02
Viet Nam,VNM,East Asia & Pacific,11.072285714285714,0,116.31515,4.499232142857143,345,Inf,1.94
Sri Lanka,LKA,South Asia,10.635567857142858,0,15.976517857142857,24.778142857142857,499,Inf,1.86
Singapore,SGP,East Asia & Pacific,10.301142857142857,0,72.46311785714286,13.190221428571428,390,Inf,1.8
Iraq,IRQ,Middle East & North Africa,9.419128571428573,0,15.656778571428573,0.5730607142857143,258,Inf,1.65
Romania,ROU,Europe & Central Asia,8.997275,0,6.039807142857143,7.437132142857142,254,Inf,1.57
Netherlands,NLD,Europe & Central Asia,8.546546428571428,0,6.1280785714285715,168.5360642857143,750,Inf,1.49
Oman,OMN,Middle East & North Africa,8.507321428571428,0,198.81090357142858,18.299792857142858,712,Inf,1.49
Bahrain,BHR,Middle East & North Africa,7.412439285714286,0,99.31680714285714,22.25705,530,Inf,1.3
O.Asia(Tai.For.Pe.Ki,NA,Other/Unclassified,6.482210714285714,0,141.52485000000001,25.933625000000003,173,Inf,1.13
Italy,ITA,Europe & Central Asia,6.133442857142857,0,355.993625,45.98381071428572,774,Inf,1.07
Italy                         38,ITA,Europe & Central Asia,5.703146428571428,0,0,0,1,Inf,1
Spain,ESP,Europe & Central Asia,5.627546428571429,0,128.33816785714285,189.22828928571428,693,Inf,0.98
Kuwait,KWT,Middle East & North Africa,5.376878571428572,0,507.26016785714285,51.20511428571429,517,Inf,0.94
U.S.America                  125,USA,North America,4.640303571428571,0,0,0,1,Inf,0.81
Malaysia,MYS,East Asia & Pacific,4.632846428571429,0,37.163174999999995,28.24048571428571,635,Inf,0.81
France,FRA,Europe & Central Asia,4.485275,0,68.98380357142858,35.95016428571429,657,Inf,0.78
Thailand,THA,East Asia & Pacific,4.122285714285714,0,58.811703571428566,57.59802142857143,450,Inf,0.72
Australia,AUS,East Asia & Pacific,3.9938357142857144,0,80.722175,107.44683571428571,886,Inf,0.7
Japan,JPN,East Asia & Pacific,3.593060714285714,0,52.23653928571429,6.792282142857143,476,Inf,0.63
Poland,POL,Europe & Central Asia,3.180710714285714,0,12.683432142857143,13.924460714285713,367,Inf,0.56
"United Kingdom               2,294",GBR,Europe & Central Asia,2.9300714285714284,0,0,0,1,Inf,0.51
Greece,GRC,Europe & Central Asia,2.9118178571428572,0,12.0362,7.988778571428571,427,Inf,0.51
Poland                        91,POL,Europe & Central Asia,2.874614285714286,0,0,0,1,Inf,0.5
Brazil,BRA,Latin America & Caribbean,2.848925,0,13.374489285714287,9.370928571428571,281,Inf,0.5
Lithuania,LTU,Europe & Central Asia,2.831410714285714,0,3.5967535714285717,0.33279285714285717,126,Inf,0.5
South Africa,ZAF,Sub-Saharan Africa,2.7134964285714287,0,22.92320714285714,12.844817857142857,621,Inf,0.47
Mauritius,MUS,Sub-Saharan Africa,2.557117857142857,0,0.6308892857142857,0.257825,303,Inf,0.45
Kenya,KEN,Sub-Saharan Africa,2.244382142857143,0,12.912832142857143,1.1784857142857144,368,Inf,0.39
Sweden,SWE,Europe & Central Asia,2.213942857142857,0,25.13993214285714,38.41867857142857,414,Inf,0.39
New Zealand,NZL,East Asia & Pacific,1.9980892857142858,0,2.0826285714285713,1.2545607142857143,281,Inf,0.35
Slovenia,SVN,Europe & Central Asia,1.9533392857142857,0,12.826196428571428,12.090257142857142,206,Inf,0.34
Spain                         52,ESP,Europe & Central Asia,1.924825,0,0,0,1,Inf,0.34
Denmark,DNK,Europe & Central Asia,1.8311785714285713,0,6.958542857142858,26.709374999999998,349,Inf,0.32
