page,hs_code,unit,country,jun24_qty,jun24_pkr,cum2324_qty,cum2324_pkr,jun23_qty,jun23_pkr,cum2223_qty,cum2223_pkr,jun24_usd_m,cum2324_usd_m,jun23_usd_m,cum2223_usd_m,hs2,hs2_name,iso3,region
1,01022190,NA,United Arab Emirates,NA,NA,560,40639,NA,NA,NA,NA,NA,0.14513928571428572,NA,NA,01,Live Animals,ARE,Middle East & North Africa
1,01022990,NA,United Arab Emirates,NA,NA,40,3340,NA,NA,NA,NA,NA,0.011928571428571429,NA,NA,01,Live Animals,ARE,Middle East & North Africa
1,01029000,NA,Kuwait,NA,NA,1570,680,NA,NA,NA,NA,NA,0.0024285714285714284,NA,NA,01,Live Animals,KWT,Middle East & North Africa
1,01051100,NA,Afghanistan,NA,NA,75000,12150,460000,NA,732230,NA,NA,0.04339285714285714,NA,NA,01,Live Animals,AFG,South Asia
1,01051100,NA,Saudi Arabia,NA,NA,30000,8038,NA,NA,NA,NA,NA,0.028707142857142858,NA,NA,01,Live Animals,SAU,Middle East & North Africa
1,01051300,NA,Kuwait,NA,NA,NA,NA,800,713,1400,NA,NA,NA,0.0025464285714285714,NA,01,Live Animals,KWT,Middle East & North Africa
1,01059400,558,Afghanistan,NA,NA,24496,328292,172900,NA,NA,NA,NA,1.1724714285714286,NA,NA,01,Live Animals,AFG,South Asia
1,01059400,558,Oman,NA,NA,145,294,NA,NA,765,NA,NA,0.00105,NA,NA,01,Live Animals,OMN,Middle East & North Africa
1,01059400,558,Saudi Arabia,NA,NA,60048,12914,NA,NA,NA,NA,NA,0.04612142857142857,NA,NA,01,Live Animals,SAU,Middle East & North Africa
1,01059900,558,Afghanistan,NA,NA,NA,NA,NA,NA,6000,NA,NA,NA,NA,NA,01,Live Animals,AFG,South Asia
1,01059900,558,Oman,NA,NA,630,435,NA,NA,NA,NA,NA,0.0015535714285714285,NA,NA,01,Live Animals,OMN,Middle East & North Africa
1,01061400,558,Afghanistan,NA,NA,860,599,NA,NA,NA,NA,NA,0.0021392857142857142,NA,NA,01,Live Animals,AFG,South Asia
1,01063190,558,Kuwait,NA,NA,117,68,NA,NA,NA,NA,NA,2.4285714285714286e-4,NA,NA,01,Live Animals,KWT,Middle East & North Africa
1,01063190,558,Oman,NA,NA,2127,1494,270,442,2697,NA,NA,0.005335714285714286,0.0015785714285714285,NA,01,Live Animals,OMN,Middle East & North Africa
2,01063200,558,Jordan,NA,100,201,NA,NA,2052,NA,NA,3.5714285714285714e-4,NA,0.007328571428571428,NA,01,Live Animals,JOR,Middle East & North Africa
2,01063200,558,Kuwait,NA,NA,NA,NA,NA,725,NA,NA,NA,NA,0.002589285714285714,NA,01,Live Animals,KWT,Middle East & North Africa
2,01063200,558,Maldives,NA,NA,NA,NA,NA,231,NA,NA,NA,NA,8.25e-4,NA,01,Live Animals,MDV,South Asia
