country,years_observed,avg_ratio,min_ratio,max_ratio,ratio_range,ratio_stability
Malawi,4,71.3650175,69.14697,74.08589,4.93892000000001,Stable
Rwanda,6,58.66715666666667,57.85938,59.81633,1.956949999999999,Stable
Chad,5,58.45819,55.54179,62.42763,6.885840000000002,Moderate
Mozambique,6,54.216901666666665,52.43683,54.92451,2.4876799999999974,Stable
Burundi,6,46.375791666666665,43.22109,49.66066,6.439570000000003,Moderate
Guinea,4,45.1263725,43.55555,47.14862,3.5930700000000044,Stable
Pakistan,6,44.863661666666665,41.35274,47.63465,6.281910000000003,Moderate
Afghanistan,4,44.681965,44.00995,45.71171,1.701759999999993,Stable
Uganda,5,44.538492,42.65911,48.80484,6.14573,Moderate
Cambodia,6,44.500209999999996,41.66267,46.92711,5.2644400000000005,Moderate
Zambia,6,44.389145,41.0469,49.22433,8.177430000000001,Moderate
United Republic Of Tanzania,5,44.250962,41.76673,47.15284,5.386109999999995,Moderate
Benin,6,44.00938166666667,41.63992,45.92349,4.2835700000000045,Stable
Burkina Faso,6,43.873655,40.68126,48.23903,7.557769999999998,Moderate
Cameroon,5,43.714616,41.46571,45.56349,4.09778,Stable
Eritrea,5,42.329544,39.24553,45.66797,6.422439999999995,Moderate
Côte D'ivoire,6,42.036986666666664,41.00117,42.52673,1.5255599999999987,Stable
Madagascar,5,41.269562,39.76644,43.06725,3.3008099999999985,Stable
Togo,6,41.18878,40.12613,41.70862,1.58249,Stable
Mali,5,40.75668,38.22009,42.70695,4.48686,Stable
Low Income Countries,6,40.28292666666667,39.46101,41.27404,1.8130299999999977,Stable
Sub-Saharan Africa,6,39.755113333333334,38.49626,43.61803,5.121769999999998,Moderate
Africa (Sub-Saharan),6,39.737610000000004,38.48384,43.59906,5.115220000000001,Moderate
Kenya,3,39.52614,30.65055,56.5747,25.92415,Variable
Least Developed Countries,6,38.57629,37.19504,40.19802,3.002980000000001,Stable
Landlocked Developing Countries,6,38.43292666666667,38.17307,38.66007,0.48699999999999477,Stable
Gambia,6,37.77316666666667,33.86525,44.68514,10.819889999999994,Variable
Niger,6,36.674365,35.75275,38.75524,3.0024900000000017,Stable
Mauritania,5,36.413114,34.37911,40.12932,5.750210000000003,Moderate
Sierra Leone,5,35.669162,32.99373,39.43821,6.444479999999999,Moderate
Democratic Republic Of The Congo,4,35.083529999999996,33.19793,37.06925,3.871319999999997,Stable
Bhutan,6,34.26317,23.9859,40.31205,16.32615,Variable
Asia (Southern),6,33.79647166666667,32.3491,35.25723,2.90813,Stable
South And West Asia,6,33.79647166666667,32.3491,35.25723,2.90813,Stable
Lesotho,6,33.21286833333333,32.62708,34.07946,1.452379999999998,Stable
Asia (Central And Southern),6,33.19071666666667,31.81849,34.45164,2.633149999999997,Stable
India,4,32.578555,31.28855,35.21588,3.9273299999999978,Stable
Sao Tome And Principe,6,32.47278,28.65004,38.77644,10.1264,Variable
Djibouti,7,32.328715714285714,29.37453,34.93245,5.557920000000003,Moderate
Senegal,6,32.30263166666667,31.74299,32.81273,1.069740000000003,Stable
South Africa,4,32.016855,30.3322,32.93793,2.605730000000001,Stable
Oceania (Excl. Australia/New Zealand),6,31.75067,31.55987,32.06954,0.5096700000000034,Stable
Philippines,3,30.201783333333335,28.98824,31.35082,2.3625799999999977,Stable
Ghana,7,30.160214285714286,27.24556,32.98357,5.738009999999999,Moderate
Lower Middle Income Countries,6,28.932505,27.83073,30.93166,3.1009300000000017,Stable
El Salvador,3,28.7421,28.26087,29.69441,1.4335400000000007,Stable
Mongolia,6,28.644561666666668,27.20739,30.37955,3.172159999999998,Stable
Eswatini,5,28.009132,27.27385,29.05959,1.7857400000000005,Stable
Liberia,3,28.004226666666668,26.49841,30.44637,3.947960000000002,Stable
Honduras,3,27.704653333333333,25.59773,29.14566,3.547930000000001,Stable
Mexico,6,27.222896666666667,26.55228,28.01636,1.4640799999999992,Stable
Iran (Islamic Republic Of),5,26.838624,25.65459,28.52479,2.8702000000000005,Stable
Morocco,6,26.332095,25.66659,28.03417,2.3675800000000002,Stable
Kiribati,3,25.863866666666667,25.48855,26.37134,0.88279,Stable
Kyrgyzstan,6,24.98211166666667,23.89988,26.19366,2.2937800000000017,Stable
Lao People's Democratic Republic,6,24.555076666666665,22.33745,27.12631,4.78886,Stable
Colombia,6,24.412855,23.60132,25.04796,1.4466399999999986,Stable
Myanmar,3,24.21689333333333,22.04141,27.56392,5.5225100000000005,Moderate
Palestine,6,24.056621666666665,23.5944,24.72816,1.1337599999999988,Stable
Ecuador,5,24.054406,22.07788,25.10571,3.027829999999998,Stable
Nepal,6,23.92130166666667,20.90655,27.5331,6.626550000000002,Moderate
