district,date,value
NPL001,1979-02-01,38.6523
NPL001,1979-03-01,18.706
NPL001,1979-04-01,61.3038
NPL001,1979-05-01,70.7273
NPL001,1979-06-01,100.0936
NPL001,1979-07-01,309.8249
NPL001,1979-08-01,223.7898
NPL001,1979-09-01,88.8484
NPL001,1979-10-01,102.3502
NPL001,1979-11-01,45.0746
NPL001,1979-12-01,23.4698
NPL001,1980-01-01,21.5193
NPL001,1980-02-01,42.0622
NPL001,1980-03-01,53.4821
NPL001,1980-04-01,29.5503
NPL001,1980-05-01,134.8769
NPL001,1980-06-01,267.3769
NPL001,1980-07-01,388.7579
NPL001,1980-08-01,277.6484
NPL001,1980-09-01,103.9636
NPL001,1980-10-01,56.2338
NPL001,1980-11-01,15.2665
NPL001,1980-12-01,12.7929
NPL001,1981-01-01,55.9782
NPL001,1981-02-01,20.0175
NPL001,1981-03-01,66.0565
NPL001,1981-04-01,108.0105
NPL001,1981-05-01,153.8575
NPL001,1981-06-01,161.1209
NPL001,1981-07-01,279.1898
NPL001,1981-08-01,235.1795
NPL001,1981-09-01,250.3617
NPL001,1981-10-01,42.1079
NPL001,1981-11-01,14.9424
NPL001,1981-12-01,11.4672
NPL001,1982-01-01,28.6389
NPL001,1982-02-01,41.1472
NPL001,1982-03-01,57.6403
NPL001,1982-04-01,64.304
NPL001,1982-05-01,50.6974
NPL001,1982-06-01,131.0286
NPL001,1982-07-01,204.2381
NPL001,1982-08-01,336.2258
NPL001,1982-09-01,94.6503
NPL001,1982-10-01,36.6463
NPL001,1982-11-01,44.3383
NPL001,1982-12-01,22.7479
NPL001,1983-01-01,23.8209
NPL001,1983-02-01,40.4543
NPL001,1983-03-01,31.0586
NPL001,1983-04-01,87.5808
NPL001,1983-05-01,107.3891
NPL001,1983-06-01,125.3793
NPL001,1983-07-01,190.7978
NPL001,1983-08-01,170.0392
NPL001,1983-09-01,142.2506
NPL001,1983-10-01,82.3521
NPL001,1983-11-01,13.1326
NPL001,1983-12-01,16.8745
NPL001,1984-01-01,25.4512
NPL001,1984-02-01,23.1443
NPL001,1984-03-01,36.9566
NPL001,1984-04-01,54.0608
NPL001,1984-05-01,119.6406
NPL001,1984-06-01,216.1153
NPL001,1984-07-01,288.6734
NPL001,1984-08-01,235.039
NPL001,1984-09-01,169.7682
NPL001,1984-10-01,49.2696
NPL001,1984-11-01,13.7209
NPL001,1984-12-01,16.7553
NPL001,1985-01-01,32.1836
NPL001,1985-02-01,30.912
NPL001,1985-03-01,33.8753
NPL001,1985-04-01,61.4051
NPL001,1985-05-01,123.4806
NPL001,1985-06-01,152.9738
NPL001,1985-07-01,454.1347
NPL001,1985-08-01,189.4054
NPL001,1985-09-01,144.6082
NPL001,1985-10-01,117.4569
NPL001,1985-11-01,19.3545
NPL001,1985-12-01,24.3535
NPL001,1986-01-01,8.3389
NPL001,1986-02-01,21.7013
NPL001,1986-03-01,36.0063
NPL001,1986-04-01,85.1573
NPL001,1986-05-01,79.032
NPL001,1986-06-01,142.7753
NPL001,1986-07-01,308.2927
NPL001,1986-08-01,184.7343
NPL001,1986-09-01,185.4945
NPL001,1986-10-01,58.7027
NPL001,1986-11-01,19.2333
NPL001,1986-12-01,23.9283
NPL001,1987-01-01,23.2022
NPL001,1987-02-01,21.0656
NPL001,1987-03-01,99.9338
NPL001,1987-04-01,85.5673
NPL001,1987-05-01,115.5966
NPL001,1987-06-01,223.6216
NPL001,1987-07-01,192.645
NPL001,1987-08-01,274.8291
NPL001,1987-09-01,157.8512
NPL001,1987-10-01,182.0856
NPL001,1987-11-01,10.1614
NPL001,1987-12-01,10.1634
NPL001,1988-01-01,13.2276
NPL001,1988-02-01,23.1139
NPL001,1988-03-01,43.6959
NPL001,1988-04-01,64.8513
NPL001,1988-05-01,99.2573
NPL001,1988-06-01,152.7965
NPL001,1988-07-01,316.7787
NPL001,1988-08-01,247.3992
NPL001,1988-09-01,137.6511
NPL001,1988-10-01,37.0492
NPL001,1988-11-01,12.7978
NPL001,1988-12-01,44.159
NPL001,1989-01-01,38.3438
NPL001,1989-02-01,41.1644
NPL001,1989-03-01,80.472
NPL001,1989-04-01,28.6323
NPL001,1989-05-01,128.9005
NPL001,1989-06-01,188.3809
NPL001,1989-07-01,353.3747
NPL001,1989-08-01,162.3311
NPL001,1989-09-01,238.5027
NPL001,1989-10-01,31.599
