source_year,province,district,MPI,headcount_pct,intensity_pct,education_contribution_pct,health_contribution_pct,living_standards_contribution_pct,MPI_rank
2015,BALOCHISTAN,Killa Abdullah,0.641,96.9,66.2,41.7,31.1,27.3,1
2015,BALOCHISTAN,Harnai,0.633,94.2,67.2,38.2,28.9,32.9,2
2015,BALOCHISTAN,Barkhan,0.627,93.6,67.0,39.9,30.4,29.7,3
2015,BALOCHISTAN,Ziarat,0.575,90.3,63.7,35.8,33.5,30.7,5
2015,BALOCHISTAN,Chaghi,0.546,89.2,61.2,40.6,16.2,43.3,7
2015,BALOCHISTAN,Jhal Magsi,0.528,89.7,58.9,44.1,20.1,35.8,8
2015,BALOCHISTAN,Sherani,0.526,90.6,58.1,38.8,21.4,39.8,9
2015,BALOCHISTAN,Zhob,0.514,82.8,62.1,43.0,30.1,26.9,10
2015,BALOCHISTAN,Kohlu,0.503,86.8,58.0,42.0,19.3,38.7,12
2015,BALOCHISTAN,Dera Bugti,0.499,88.4,56.4,48.4,11.5,40.2,13
2015,BALOCHISTAN,Washuk,0.466,81.9,56.9,41.6,18.7,39.7,15
2015,BALOCHISTAN,Kharan,0.454,78.4,57.9,40.6,27.8,31.6,17
2015,BALOCHISTAN,Pishin,0.453,82.2,55.1,40.6,35.0,24.3,18
2015,BALOCHISTAN,Awaran,0.415,77.2,53.8,38.4,18.1,43.5,26
2015,BALOCHISTAN,Bolan/Kachhi,0.414,73.1,56.7,40.9,20.3,38.8,27
2015,BALOCHISTAN,Naseerabad,0.413,77.0,53.6,48.0,15.6,36.4,28
2015,BALOCHISTAN,Jaffarabad,0.404,75.0,53.8,45.1,21.3,33.6,29
2015,BALOCHISTAN,Lasbela,0.395,68.1,58.0,38.8,22.1,39.0,31
2015,BALOCHISTAN,Killa Saifullah,0.386,79.3,48.7,47.8,28.1,24.1,33
2015,BALOCHISTAN,Musakhail,0.351,66.9,52.4,43.8,17.0,39.2,42
2015,BALOCHISTAN,Sibi,0.324,57.5,56.3,45.4,16.6,38.0,45
2015,BALOCHISTAN,Loralai,0.32,68.5,46.7,45.1,11.6,43.3,48
2015,BALOCHISTAN,Noshki,0.316,64.0,49.4,47.9,23.6,28.5,50
2015,BALOCHISTAN,Mastung,0.302,62.0,48.7,35.2,23.8,41.1,51
2015,BALOCHISTAN,Gawadar,0.293,60.8,48.2,43.7,25.2,31.1,53
2015,BALOCHISTAN,Khuzdar,0.285,57.5,49.6,42.5,14.5,43.0,56
2015,BALOCHISTAN,Kalat,0.275,57.1,48.1,36.5,24.5,38.9,57
2015,BALOCHISTAN,Quetta,0.213,46.3,46.0,47.6,33.3,19.1,71
2015,BALOCHISTAN,Kech/Turbat,,,,,,,
2015,BALOCHISTAN,Panjgur,,,,,,,
2015,Islamabad Capital Territory,Islamabad,0.013,3.1,43.2,52.6,23.9,23.4,113
2015,KHYBER PAKHTUNKHWA,Kohistan,0.581,95.8,60.6,41.9,24.1,34.1,4
2015,KHYBER PAKHTUNKHWA,Tor Ghar,0.571,92.0,62.1,39.7,29.9,30.3,6
2015,KHYBER PAKHTUNKHWA,Upper Dir,0.443,76.4,58.0,41.2,29.3,29.6,20
2015,KHYBER PAKHTUNKHWA,Shangla,0.438,80.2,54.6,46.8,23.4,29.8,21
2015,KHYBER PAKHTUNKHWA,Battagram,0.422,75.2,56.1,41.2,30.3,28.5,25
2015,KHYBER PAKHTUNKHWA,Tank,0.385,71.1,54.2,43.8,24.2,32.0,35
2015,KHYBER PAKHTUNKHWA,Buner,0.373,71.6,52.0,41.0,26.4,32.6,37
2015,KHYBER PAKHTUNKHWA,Dera Ismail Khan,0.362,65.6,55.2,42.4,27.3,30.3,39
2015,KHYBER PAKHTUNKHWA,Lakki Marwat,0.32,62.7,51.0,38.0,33.0,29.0,48
2015,KHYBER PAKHTUNKHWA,Bannu,0.289,58.6,49.2,43.5,30.9,25.6,54
2015,KHYBER PAKHTUNKHWA,Hangu,0.271,55.8,48.5,46.9,24.2,28.9,59
2015,KHYBER PAKHTUNKHWA,Swat,0.271,55.0,49.3,37.9,32.8,29.4,59
2015,KHYBER PAKHTUNKHWA,Karak,0.253,50.3,50.3,34.2,35.1,30.8,63
2015,KHYBER PAKHTUNKHWA,Kohat,0.238,47.5,50.0,41.4,29.3,29.3,67
2015,KHYBER PAKHTUNKHWA,Charsadda,0.213,44.6,47.8,43.2,25.1,31.7,71
2015,KHYBER PAKHTUNKHWA,Swabi,0.21,43.8,48.0,40.8,28.8,30.5,73
2015,KHYBER PAKHTUNKHWA,Mansehra,0.204,40.7,50.1,34.6,29.9,35.5,74
2015,KHYBER PAKHTUNKHWA,Chitral,0.194,43.3,44.9,37.6,28.3,34.0,80
2015,KHYBER PAKHTUNKHWA,Lower Dir,0.194,41.6,46.7,43.9,23.7,32.4,80
