country,iso2c,iso3c,year,SP.POP.TOTL,SP.POP.GROW,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,SP.URB.TOTL.IN.ZS,SP.POP.DPND,SP.POP.0014.TO.ZS,SP.POP.65UP.TO.ZS,SP.DYN.IMRT.IN,SH.DYN.MORT
Pakistan,PK,PAK,1960,45709310,NA,46.693,20.065,44.101,6.8,22.104,77.7069677889498,41.3154239400619,2.41216179386827,167,250.1
Pakistan,PK,PAK,1961,46921277,2.61692428891528,46.63,19.483,44.956,6.8,22.501,78.0687977339578,41.4076358151974,2.43429542635849,162,241.2
Pakistan,PK,PAK,1962,48156128,2.59771591436219,46.448,18.857,45.85,6.8,22.751,78.6852973926361,41.5777919435071,2.4578938578481,157.4,232.9
Pakistan,PK,PAK,1963,49447776,2.64686832380638,46.242,18.234,46.761,6.8,23.002,79.6428670038074,41.8479684692793,2.48602993273176,153.1,225.2
Pakistan,PK,PAK,1964,50799999,2.69792525640101,45.998,17.506,47.831,6.8,23.256,81.0257819209402,42.2385407700644,2.52070967047943,149.3,218.1
Pakistan,PK,PAK,1965,52209010,2.73587504585891,45.721,17.066,48.495,6.8,23.511,82.5342747726101,42.6532186939881,2.56255005182583,145.9,211.8
Pakistan,PK,PAK,1966,53678667,2.77605746573216,45.403,16.223,49.797,6.8,23.769,83.9055142087154,43.0087077236847,2.61554371311046,143.1,206.3
Pakistan,PK,PAK,1967,55214768,2.82147937181904,45.08,15.618,50.763,6.8,24.028,85.1359438007866,43.3056556236399,2.6799822587321,140.8,201.5
Pakistan,PK,PAK,1968,56810507,2.84908372808406,44.714,15.084,51.624,6.8,24.289,86.1974696183078,43.5445634770997,2.7490143438694,139,197.4
Pakistan,PK,PAK,1969,58460939,2.86375308045611,44.304,14.65,52.316,6.8,24.552,87.0696084228225,43.7275331824554,2.81642841898246,137.3,193.6
Pakistan,PK,PAK,1970,60166719,2.87605370916423,44.083,14.273,52.943,6.801,24.817,87.7599428869068,43.8631351672747,2.87736894147935,136,190.2
Pakistan,PK,PAK,1971,61847899,2.75587700704686,43.945,16.533,49.002,6.802,25.084,88.3123938670614,43.9738555712793,2.92289554635562,134.7,187
