date,fiscal_year,base_year,group_code,cmdty_code,description,index_value,group,fy1516_avg,factor,index
2015-07-01,2015-2016,2007-08,00,00,General,201.76,General,203.81916666666666,0.4906309923420679,98.98970901493561
2015-08-01,2015-2016,2007-08,00,00,General,202.25,General,203.81916666666666,0.4906309923420679,99.23011820118323
2015-09-01,2015-2016,2007-08,00,00,General,202.04,General,203.81916666666666,0.4906309923420679,99.1270856927914
2015-10-01,2015-2016,2007-08,00,00,General,203.03,General,203.81916666666666,0.4906309923420679,99.61281037521005
2015-11-01,2015-2016,2007-08,00,00,General,204.22,General,203.81916666666666,0.4906309923420679,100.19666125609712
2015-12-01,2015-2016,2007-08,00,00,General,203.06,General,203.81916666666666,0.4906309923420679,99.62752930498031
2016-01-01,2015-2016,2007-08,00,00,General,203.49,General,203.81916666666666,0.4906309923420679,99.83850063168741
2016-02-01,2015-2016,2007-08,00,00,General,202.98,General,203.81916666666666,0.4906309923420679,99.58827882559294
2016-03-01,2015-2016,2007-08,00,00,General,203.28,General,203.81916666666666,0.4906309923420679,99.73546812329556
2016-04-01,2015-2016,2007-08,00,00,General,206.43,General,203.81916666666666,0.4906309923420679,101.28095574917309
2016-05-01,2015-2016,2007-08,00,00,General,205.99,General,203.81916666666666,0.4906309923420679,101.06507811254258
2016-06-01,2015-2016,2007-08,00,00,General,207.3,General,203.81916666666666,0.4906309923420679,101.70780471251068
2016-07-01,2016-2017,2007-08,00,00,General,210.08,General,203.81916666666666,0.4906309923420679,103.07175887122163
2016-08-01,2016-2017,2007-08,00,00,General,209.46,General,203.81916666666666,0.4906309923420679,102.76756765596954
2016-09-01,2016-2017,2007-08,00,00,General,209.88,General,203.81916666666666,0.4906309923420679,102.97363267275321
2016-10-01,2016-2017,2007-08,00,00,General,211.57,General,203.81916666666666,0.4906309923420679,103.80279904981131
2016-11-01,2016-2017,2007-08,00,00,General,212.01,General,203.81916666666666,0.4906309923420679,104.01867668644182
2016-12-01,2016-2017,2007-08,00,00,General,210.57,General,203.81916666666666,0.4906309923420679,103.31216805746924
2017-01-01,2016-2017,2007-08,00,00,General,210.94,General,203.81916666666666,0.4906309923420679,103.49370152463581
2017-02-01,2016-2017,2007-08,00,00,General,211.54,General,203.81916666666666,0.4906309923420679,103.78808012004104
2017-03-01,2016-2017,2007-08,00,00,General,213.32,General,203.81916666666666,0.4906309923420679,104.66140328640992
2017-04-01,2016-2017,2007-08,00,00,General,216.3,General,203.81916666666666,0.4906309923420679,106.1234836435893
2017-05-01,2016-2017,2007-08,00,00,General,216.33,General,203.81916666666666,0.4906309923420679,106.13820257335956
2017-06-01,2016-2017,2007-08,00,00,General,215.45,General,203.81916666666666,0.4906309923420679,105.70644730009853
2017-07-01,2017-2018,2007-08,00,00,General,216.19,General,203.81916666666666,0.4906309923420679,106.06951423443167
2017-08-01,2017-2018,2007-08,00,00,General,216.61,General,203.81916666666666,0.4906309923420679,106.27557925121533
2017-09-01,2017-2018,2007-08,00,00,General,217.98,General,203.81916666666666,0.4906309923420679,106.94774371072396
2017-10-01,2017-2018,2007-08,00,00,General,219.61,General,203.81916666666666,0.4906309923420679,107.74747222824155
2017-11-01,2017-2018,2007-08,00,00,General,220.42,General,203.81916666666666,0.4906309923420679,108.1448833320386
2017-12-01,2017-2018,2007-08,00,00,General,220.2,General,203.81916666666666,0.4906309923420679,108.03694451372336
2018-01-01,2017-2018,2007-08,00,00,General,220.27,General,203.81916666666666,0.4906309923420679,108.0712886831873
2018-02-01,2017-2018,2007-08,00,00,General,219.58,General,203.81916666666666,0.4906309923420679,107.73275329847128
2018-03-01,2017-2018,2007-08,00,00,General,220.25,General,203.81916666666666,0.4906309923420679,108.06147606334046
2018-04-01,2017-2018,2007-08,00,00,General,224.25,General,203.81916666666666,0.4906309923420679,110.02400003270873
2018-05-01,2017-2018,2007-08,00,00,General,225.4,General,203.81916666666666,0.4906309923420679,110.58822567390212
2018-06-01,2017-2018,2007-08,00,00,General,226.67,General,203.81916666666666,0.4906309923420679,111.21132703417653
2018-07-01,2018-2019,2007-08,00,00,General,228.8,General,203.81916666666666,0.4906309923420679,112.25637104786514
2018-08-01,2018-2019,2007-08,00,00,General,229.27,General,203.81916666666666,0.4906309923420679,112.48696761426592
2018-09-01,2018-2019,2007-08,00,00,General,229.12,General,203.81916666666666,0.4906309923420679,112.41337296541461
2018-10-01,2018-2019,2007-08,00,00,General,234.49,General,203.81916666666666,0.4906309923420679,115.04806139429151
2018-11-01,2018-2019,2007-08,00,00,General,234.76,General,203.81916666666666,0.4906309923420679,115.18053176222386
2018-12-01,2018-2019,2007-08,00,00,General,233.78,General,203.81916666666666,0.4906309923420679,114.69971338972864
2019-01-01,2018-2019,2007-08,00,00,General,236.11,General,203.81916666666666,0.4906309923420679,115.84288360188566
2019-02-01,2018-2019,2007-08,00,00,General,237.61,General,203.81916666666666,0.4906309923420679,116.57883009039877
2019-03-01,2018-2019,2007-08,00,00,General,240.99,General,203.81916666666666,0.4906309923420679,118.23716284451496
2019-04-01,2018-2019,2007-08,00,00,General,244.03,General,203.81916666666666,0.4906309923420679,119.72868106123484
2019-05-01,2018-2019,2007-08,00,00,General,245.94,General,203.81916666666666,0.4906309923420679,120.66578625660819
2019-06-01,2018-2019,2007-08,00,00,General,246.82,General,203.81916666666666,0.4906309923420679,121.0975415298692
2019-07-01,2019-2020,2015-16,00,00,General,124.95,General,203.81916666666666,0.4906309923420679,124.95
2019-08-01,2019-2020,2015-16,00,00,General,126.77,General,203.81916666666666,0.4906309923420679,126.77
2019-09-01,2019-2020,2015-16,00,00,General,127.72,General,203.81916666666666,0.4906309923420679,127.72
2019-10-01,2019-2020,2015-16,00,00,General,129.75,General,203.81916666666666,0.4906309923420679,129.75
2019-11-01,2019-2020,2015-16,00,00,General,131.05,General,203.81916666666666,0.4906309923420679,131.05
2019-12-01,2019-2020,2015-16,00,00,General,130.57,General,203.81916666666666,0.4906309923420679,130.57
2020-01-01,2019-2020,2015-16,00,00,General,132.77,General,203.81916666666666,0.4906309923420679,132.77
2020-02-01,2019-2020,2015-16,00,00,General,131.32,General,203.81916666666666,0.4906309923420679,131.32
2020-03-01,2019-2020,2015-16,00,00,General,131.49,General,203.81916666666666,0.4906309923420679,131.49
2020-04-01,2019-2020,2015-16,00,00,General,130.6,General,203.81916666666666,0.4906309923420679,130.6
2020-05-01,2019-2020,2015-16,00,00,General,130.99,General,203.81916666666666,0.4906309923420679,130.99
2020-06-01,2019-2020,2015-16,00,00,General,131.89,General,203.81916666666666,0.4906309923420679,131.89
2020-07-01,2020-2021,2015-16,00,00,General,134.73,General,203.81916666666666,0.4906309923420679,134.73
2020-08-01,2020-2021,2015-16,00,00,General,135.82,General,203.81916666666666,0.4906309923420679,135.82
2020-09-01,2020-2021,2015-16,00,00,General,137.53,General,203.81916666666666,0.4906309923420679,137.53
2020-10-01,2020-2021,2015-16,00,00,General,139.27,General,203.81916666666666,0.4906309923420679,139.27
2020-11-01,2020-2021,2015-16,00,00,General,140.16,General,203.81916666666666,0.4906309923420679,140.16
2020-12-01,2020-2021,2015-16,00,00,General,139.67,General,203.81916666666666,0.4906309923420679,139.67
2021-01-01,2020-2021,2015-16,00,00,General,139.45,General,203.81916666666666,0.4906309923420679,139.45
2021-02-01,2020-2021,2015-16,00,00,General,142.61,General,203.81916666666666,0.4906309923420679,142.61
2021-03-01,2020-2021,2015-16,00,00,General,142.99,General,203.81916666666666,0.4906309923420679,142.99
2021-04-01,2020-2021,2015-16,00,00,General,144.91,General,203.81916666666666,0.4906309923420679,144.91
2021-05-01,2020-2021,2015-16,00,00,General,145.19,General,203.81916666666666,0.4906309923420679,145.19
2021-06-01,2020-2021,2015-16,00,00,General,144.55,General,203.81916666666666,0.4906309923420679,144.55
2021-07-01,2021-2022,2015-16,00,00,General,146.41,General,203.81916666666666,0.4906309923420679,146.41
2021-08-01,2021-2022,2015-16,00,00,General,147.12,General,203.81916666666666,0.4906309923420679,147.12
2021-09-01,2021-2022,2015-16,00,00,General,150.08,General,203.81916666666666,0.4906309923420679,150.08
2021-10-01,2021-2022,2015-16,00,00,General,152.59,General,203.81916666666666,0.4906309923420679,152.59
2021-11-01,2021-2022,2015-16,00,00,General,156.96,General,203.81916666666666,0.4906309923420679,156.96
2021-12-01,2021-2022,2015-16,00,00,General,157.46,General,203.81916666666666,0.4906309923420679,157.46
2022-01-01,2021-2022,2015-16,00,00,General,157.56,General,203.81916666666666,0.4906309923420679,157.56
2022-02-01,2021-2022,2015-16,00,00,General,159.03,General,203.81916666666666,0.4906309923420679,159.03
2022-03-01,2021-2022,2015-16,00,00,General,160.07,General,203.81916666666666,0.4906309923420679,160.07
2022-04-01,2021-2022,2015-16,00,00,General,162.63,General,203.81916666666666,0.4906309923420679,162.63
2022-05-01,2021-2022,2015-16,00,00,General,163.13,General,203.81916666666666,0.4906309923420679,163.13
2022-06-01,2021-2022,2015-16,00,00,General,173.23,General,203.81916666666666,0.4906309923420679,173.23
2022-07-01,2022-2023,2015-16,00,00,General,180.95,General,203.81916666666666,0.4906309923420679,180.95
2022-08-01,2022-2023,2015-16,00,00,General,185.72,General,203.81916666666666,0.4906309923420679,185.72
2022-09-01,2022-2023,2015-16,00,00,General,181.9,General,203.81916666666666,0.4906309923420679,181.9
2022-10-01,2022-2023,2015-16,00,00,General,190.08,General,203.81916666666666,0.4906309923420679,190.08
2022-11-01,2022-2023,2015-16,00,00,General,190.8,General,203.81916666666666,0.4906309923420679,190.8
2022-12-01,2022-2023,2015-16,00,00,General,191.46,General,203.81916666666666,0.4906309923420679,191.46
2023-01-01,2022-2023,2015-16,00,00,General,195.97,General,203.81916666666666,0.4906309923420679,195.97
2023-02-01,2022-2023,2015-16,00,00,General,204.87,General,203.81916666666666,0.4906309923420679,204.87
2023-03-01,2022-2023,2015-16,00,00,General,212.85,General,203.81916666666666,0.4906309923420679,212.85
2023-04-01,2022-2023,2015-16,00,00,General,217.11,General,203.81916666666666,0.4906309923420679,217.11
2023-05-01,2022-2023,2015-16,00,00,General,220.37,General,203.81916666666666,0.4906309923420679,220.37
2023-06-01,2022-2023,2015-16,00,00,General,220.59,General,203.81916666666666,0.4906309923420679,220.59
2023-07-01,2023-2024,2015-16,00,00,General,228.47,General,203.81916666666666,0.4906309923420679,228.47
2023-08-01,2023-2024,2015-16,00,00,General,232.12,General,203.81916666666666,0.4906309923420679,232.12
2023-09-01,2023-2024,2015-16,00,00,General,235.99,General,203.81916666666666,0.4906309923420679,235.99
2023-10-01,2023-2024,2015-16,00,00,General,238.51,General,203.81916666666666,0.4906309923420679,238.51
2023-11-01,2023-2024,2015-16,00,00,General,248.87,General,203.81916666666666,0.4906309923420679,248.87
2023-12-01,2023-2024,2015-16,00,00,General,250.68,General,203.81916666666666,0.4906309923420679,250.68
2024-01-01,2023-2024,2015-16,00,00,General,255.22,General,203.81916666666666,0.4906309923420679,255.22
2024-02-01,2023-2024,2015-16,00,00,General,255.82,General,203.81916666666666,0.4906309923420679,255.82
2024-03-01,2023-2024,2015-16,00,00,General,259.47,General,203.81916666666666,0.4906309923420679,259.47
2024-04-01,2023-2024,2015-16,00,00,General,259.24,General,203.81916666666666,0.4906309923420679,259.24
2024-05-01,2023-2024,2015-16,00,00,General,251.99,General,203.81916666666666,0.4906309923420679,251.99
2024-06-01,2023-2024,2015-16,00,00,General,253.44,General,203.81916666666666,0.4906309923420679,253.44
2024-07-01,2024-2025,2015-16,00,00,General,258.59,General,203.81916666666666,0.4906309923420679,258.59
2024-08-01,2024-2025,2015-16,00,00,General,259.3,General,203.81916666666666,0.4906309923420679,259.3
