market_id,market,admin1,admin2,province,latitude,longitude,reporting
292,Multan,PUNJAB,Multan,NA,30.2,71.48,TRUE
293,Karachi,SINDH,Karachi,NA,24.91,67.08,TRUE
294,Peshawar,KHYBER PAKHTUNKHWA,Peshawar,NA,34.01,71.58,TRUE
295,Quetta,BALOCHISTAN,Quetta,NA,30.19,67.01,TRUE
7417,Chachro,SINDH,Mirpur Khas,NA,25.11,70.25,FALSE
7418,Kantio,SINDH,Mirpur Khas,NA,25.17,69.97,FALSE
7419,Mubarik Rind,SINDH,Mirpur Khas,NA,25.03,70.55,FALSE
7420,Islamkot,SINDH,Mirpur Khas,NA,24.7,70.18,FALSE
7421,Mithi,SINDH,Mirpur Khas,NA,24.73,69.8,FALSE
7422,Chilhar,SINDH,Mirpur Khas,NA,24.98,69.92,FALSE
9372,Dalbandin,BALOCHISTAN,Quetta,NA,28.95,64.13,FALSE
9373,Nokkundi,BALOCHISTAN,Quetta,NA,28.79,62.86,FALSE
9374,Taftan,BALOCHISTAN,Quetta,NA,29.15,61.78,FALSE
9375,Chagai,BALOCHISTAN,Quetta,NA,29.34,64.75,FALSE
9376,Ormara,BALOCHISTAN,Mekran,NA,25.4,64.73,FALSE
9377,Gwadar,BALOCHISTAN,Mekran,NA,25.33,62.24,FALSE
9378,Jiwani,BALOCHISTAN,Mekran,NA,25.16,61.8,FALSE
9379,Pasni,BALOCHISTAN,Mekran,NA,25.41,63.27,FALSE
9380,Sunster,BALOCHISTAN,Mekran,NA,25.51,61.84,FALSE
9381,Usta Mohammad,BALOCHISTAN,Nasirabad,NA,28.16,67.97,FALSE
9382,Jhat Pat,BALOCHISTAN,Nasirabad,NA,28.34,68.21,FALSE
9383,Gandakha,BALOCHISTAN,Nasirabad,NA,28.07,67.76,FALSE
9384,Buleda,BALOCHISTAN,Mekran,NA,26.39,63.04,FALSE
9385,Dasht,BALOCHISTAN,Mekran,NA,25.69,62.57,FALSE
9386,Kech (Turbat),BALOCHISTAN,Mekran,NA,25.89,63.45,FALSE
9387,Mand,BALOCHISTAN,Mekran,NA,26.02,61.97,FALSE
9388,Tump,BALOCHISTAN,Mekran,NA,26.21,62.39,FALSE
9389,Kharan,BALOCHISTAN,Kalat,NA,28.89,65.74,FALSE
9390,Tomulk,BALOCHISTAN,Kalat,NA,28.62,65.2,FALSE
9391,Sar Kharan,BALOCHISTAN,Kalat,NA,28.43,65.65,FALSE
9392,Killa Saifullah,BALOCHISTAN,Zhob,NA,30.99,68.53,FALSE
9393,Muslim Bagh,BALOCHISTAN,Zhob,NA,30.92,67.85,FALSE
9394,Hub,BALOCHISTAN,Kalat,NA,25.21,66.98,FALSE
9395,Bela,BALOCHISTAN,Kalat,NA,26.26,66.4,FALSE
9396,Kanraj,BALOCHISTAN,Kalat,NA,26.15,66.78,FALSE
9397,Dureji,BALOCHISTAN,Kalat,NA,25.93,67.19,FALSE
9398,Gaddani,BALOCHISTAN,Kalat,NA,25.07,66.79,FALSE
9399,Sonmiani,BALOCHISTAN,Kalat,NA,25.42,66.78,FALSE
9400,Uthal,BALOCHISTAN,Kalat,NA,25.86,66.66,FALSE
9401,Lakhra,BALOCHISTAN,Kalat,NA,25.83,66.34,FALSE
9402,Lairi,BALOCHISTAN,Kalat,NA,25.51,65.81,FALSE
9403,Chattar,BALOCHISTAN,Nasirabad,NA,28.8,68.33,FALSE
9404,Dera Murad Jamali,BALOCHISTAN,Nasirabad,NA,28.6,68.17,FALSE
9405,Tamboo,BALOCHISTAN,Nasirabad,NA,28.45,67.91,FALSE
9406,Barshore,BALOCHISTAN,Quetta,NA,31.01,67.41,FALSE
9407,Huramzai,BALOCHISTAN,Quetta,NA,30.85,66.91,FALSE
9408,Karezat,BALOCHISTAN,Quetta,NA,30.6,67.28,FALSE
9409,Saranan,BALOCHISTAN,Quetta,NA,30.44,66.72,FALSE
9410,Pishin,BALOCHISTAN,Quetta,NA,30.71,67.03,FALSE
9411,Panjpai,BALOCHISTAN,Quetta,NA,30.03,66.47,FALSE
9412,Quetta Saddar,BALOCHISTAN,Quetta,NA,30.29,66.97,FALSE
9413,Sohbatpur,BALOCHISTAN,Nasirabad,NA,28.51,68.62,FALSE
9414,Salarzai,FATA,FATA,NA,34.87,71.53,FALSE
9415,Nawagai,FATA,FATA,NA,34.73,71.29,FALSE
9416,Bar Chamarkand,FATA,FATA,NA,34.73,71.2,FALSE
9417,Barang,FATA,FATA,NA,34.62,71.62,FALSE
9418,Khar,FATA,FATA,NA,34.73,71.48,FALSE
9419,Mamund,FATA,FATA,NA,34.83,71.39,FALSE
9420,Utman Khel,FATA,FATA,NA,34.74,71.7,FALSE
9421,Wazir,FATA,FATA,NA,33.08,70.58,FALSE
9422,Bannu,KHYBER PAKHTUNKHWA,Bannu,NA,32.95,70.67,FALSE
9423,Domel,KHYBER PAKHTUNKHWA,Bannu,NA,32.97,70.82,FALSE
9424,Baka Khel,KHYBER PAKHTUNKHWA,Bannu,NA,32.86,70.47,FALSE
9425,Miryan,KHYBER PAKHTUNKHWA,Bannu,NA,32.9,70.58,FALSE
9426,Kakki,KHYBER PAKHTUNKHWA,Bannu,NA,32.86,70.69,FALSE
9427,Allai,KHYBER PAKHTUNKHWA,Hazara,NA,34.84,73.19,FALSE
9428,Batagram,KHYBER PAKHTUNKHWA,Hazara,NA,34.68,73.03,FALSE
9429,Daggar,KHYBER PAKHTUNKHWA,Malakand,NA,34.56,72.4,FALSE
9430,Gagra,KHYBER PAKHTUNKHWA,Malakand,NA,34.52,72.61,FALSE
9431,Khadi Khel,KHYBER PAKHTUNKHWA,Malakand,NA,34.26,72.54,FALSE
9432,Mandanr,KHYBER PAKHTUNKHWA,Malakand,NA,34.38,72.64,FALSE
9433,Mastuj,KHYBER PAKHTUNKHWA,Malakand,NA,36.44,72.82,FALSE
9434,Mulkhow,KHYBER PAKHTUNKHWA,Malakand,NA,36.49,72.27,FALSE
9435,Darazinda,FATA,FATA,NA,31.58,70.15,FALSE
9436,D. I. Khan,KHYBER PAKHTUNKHWA,D.I.Khan,NA,31.91,70.79,FALSE
9437,Daraban,KHYBER PAKHTUNKHWA,D.I.Khan,NA,31.65,70.44,FALSE
9438,Kulachi,KHYBER PAKHTUNKHWA,D.I.Khan,NA,31.97,70.43,FALSE
9439,Paharpur,KHYBER PAKHTUNKHWA,D.I.Khan,NA,32.24,71.04,FALSE
9440,Paroa,KHYBER PAKHTUNKHWA,D.I.Khan,NA,31.48,70.66,FALSE
9441,Hangu,KHYBER PAKHTUNKHWA,Kohat,NA,33.49,71,FALSE
9442,Tall,KHYBER PAKHTUNKHWA,Kohat,NA,33.39,70.72,FALSE
9443,Banda Daud Shah,KHYBER PAKHTUNKHWA,Kohat,NA,33.26,71.07,FALSE
9444,Karak,KHYBER PAKHTUNKHWA,Kohat,NA,33.13,71.14,FALSE
9445,Takht-e-Nasrati,KHYBER PAKHTUNKHWA,Kohat,NA,32.99,71.14,FALSE
9446,Mulagori,FATA,FATA,NA,34.11,71.32,FALSE
9447,Bara,FATA,FATA,NA,33.87,70.97,FALSE
9448,Jamrud,FATA,FATA,NA,33.99,71.31,FALSE
9449,Landi Kotal,FATA,FATA,NA,34.11,71.14,FALSE
9450,Bankad,KHYBER PAKHTUNKHWA,Hazara,NA,35.14,72.84,FALSE
9451,Pattan,KHYBER PAKHTUNKHWA,Hazara,NA,35.2,73.01,FALSE
9452,Kandia,KHYBER PAKHTUNKHWA,Hazara,NA,35.57,73,FALSE
9453,Dassu,KHYBER PAKHTUNKHWA,Hazara,NA,35.2,73.54,FALSE
9454,Harban Basha,KHYBER PAKHTUNKHWA,Hazara,NA,35.43,73.59,FALSE
9455,Seo,KHYBER PAKHTUNKHWA,Hazara,NA,35.34,73.19,FALSE
9456,Central Kurram,FATA,FATA,NA,33.69,70.49,FALSE
9457,Lower Kurram,FATA,FATA,NA,33.56,70.32,FALSE
9458,Upper Kurram,FATA,FATA,NA,33.88,70.07,FALSE
9459,Bettani,FATA,FATA,NA,32.64,70.38,FALSE
9460,Lakki Marwat,KHYBER PAKHTUNKHWA,Bannu,NA,32.55,70.86,FALSE
9461,Sarai Naurang,KHYBER PAKHTUNKHWA,Bannu,NA,32.74,70.77,FALSE
9462,Samarbagh,KHYBER PAKHTUNKHWA,Malakand,NA,34.95,71.64,FALSE
