commodity,date,unit_std,price_pkr,price_usd,n_markets,mom,yoy
Beans(mash),2004-01-15,NA,NA,NA,NA,NA,NA
Beans(mash),2004-02-15,NA,NA,NA,NA,NA,NA
Beans(mash),2004-03-15,NA,NA,NA,NA,NA,NA
Beans(mash),2004-04-15,NA,NA,NA,NA,NA,NA
Beans(mash),2004-05-15,NA,NA,NA,NA,NA,NA
Beans(mash),2004-06-15,NA,NA,NA,NA,NA,NA
Beans(mash),2004-07-15,NA,NA,NA,NA,NA,NA
Beans(mash),2004-08-15,NA,NA,NA,NA,NA,NA
Beans(mash),2004-09-15,NA,NA,NA,NA,NA,NA
Beans(mash),2004-10-15,NA,NA,NA,NA,NA,NA
Beans(mash),2004-11-15,NA,NA,NA,NA,NA,NA
Beans(mash),2004-12-15,NA,NA,NA,NA,NA,NA
Beans(mash),2005-01-15,NA,NA,NA,NA,NA,NA
Beans(mash),2005-02-15,NA,NA,NA,NA,NA,NA
Beans(mash),2005-03-15,NA,NA,NA,NA,NA,NA
Beans(mash),2005-04-15,NA,NA,NA,NA,NA,NA
Beans(mash),2005-05-15,NA,NA,NA,NA,NA,NA
Beans(mash),2005-06-15,NA,NA,NA,NA,NA,NA
Beans(mash),2005-07-15,NA,NA,NA,NA,NA,NA
Beans(mash),2005-08-15,NA,NA,NA,NA,NA,NA
Beans(mash),2005-09-15,NA,NA,NA,NA,NA,NA
Beans(mash),2005-10-15,NA,NA,NA,NA,NA,NA
Beans(mash),2005-11-15,NA,NA,NA,NA,NA,NA
Beans(mash),2005-12-15,NA,NA,NA,NA,NA,NA
Beans(mash),2006-01-15,NA,NA,NA,NA,NA,NA
Beans(mash),2006-02-15,NA,NA,NA,NA,NA,NA
Beans(mash),2006-03-15,NA,NA,NA,NA,NA,NA
Beans(mash),2006-04-15,NA,NA,NA,NA,NA,NA
Beans(mash),2006-05-15,NA,NA,NA,NA,NA,NA
Beans(mash),2006-06-15,NA,NA,NA,NA,NA,NA
Beans(mash),2006-07-15,NA,NA,NA,NA,NA,NA
Beans(mash),2006-08-15,NA,NA,NA,NA,NA,NA
Beans(mash),2006-09-15,NA,NA,NA,NA,NA,NA
Beans(mash),2006-10-15,NA,NA,NA,NA,NA,NA
Beans(mash),2006-11-15,NA,NA,NA,NA,NA,NA
Beans(mash),2006-12-15,NA,NA,NA,NA,NA,NA
Beans(mash),2007-01-15,NA,NA,NA,NA,NA,NA
Beans(mash),2007-02-15,NA,NA,NA,NA,NA,NA
Beans(mash),2007-03-15,NA,NA,NA,NA,NA,NA
Beans(mash),2007-04-15,NA,NA,NA,NA,NA,NA
Beans(mash),2007-05-15,NA,NA,NA,NA,NA,NA
Beans(mash),2007-06-15,NA,NA,NA,NA,NA,NA
Beans(mash),2007-07-15,NA,NA,NA,NA,NA,NA
Beans(mash),2007-08-15,NA,NA,NA,NA,NA,NA
Beans(mash),2007-09-15,NA,NA,NA,NA,NA,NA
Beans(mash),2007-10-15,NA,NA,NA,NA,NA,NA
Beans(mash),2007-11-15,NA,NA,NA,NA,NA,NA
Beans(mash),2007-12-15,NA,NA,NA,NA,NA,NA
Beans(mash),2008-01-15,NA,NA,NA,NA,NA,NA
